timestamp_ms,right_elbow_angle,left_elbow_angle,right_plank_posture_angle,left_plank_posture_angle,fsm_state,right_elbow_angle_smooth,left_elbow_angle_smooth,right_plank_posture_angle_smooth,left_plank_posture_angle_smooth
1133,113.54543867768217,122.23890206185438,177.60836027842848,161.77103657221448,ACTIVE,113.73596446099637,122.97666666605696,177.8165656503055,161.09913024776372
1166,113.59245334042507,120.27779315740952,177.5202665015752,161.4430515542361,ACTIVE,113.05109962869926,120.93419127887324,177.58982473905212,161.3841501241599
1200,113.0052434734823,118.43122361626223,177.32518614571288,161.72089300235226,ACTIVE,112.65392014433726,118.34542985522238,177.29873854336972,161.5687482638248
1233,112.24171957321204,118.44756412764494,177.14107785114314,161.61436876293868,ACTIVE,112.1513867582253,116.17964739245306,177.2428540205525,161.75830115497558
1266,111.57385391319471,117.23932267848984,177.00024603298598,161.67915128704604,ACTIVE,112.08885664233338,115.44995294387041,177.48785953665526,161.82664146684579
1300,111.58404472828195,112.38457981468885,177.38358200295397,161.76270999530902,ACTIVE,111.75407105652118,115.73754632419069,177.91722961648554,161.77669744339764
1333,112.07799207683635,113.71273421281923,178.40915788718874,162.0034007150844,ACTIVE,111.85099146387,116.90593286373527,178.2178939622522,161.69930945610892
1366,112.30172258813023,117.60923398602709,178.7326026692402,161.82610123154728,ACTIVE,112.1824645675903,118.44107078127473,178.32190537312727,161.2166999334409
1400,112.78087436013487,124.42757882980503,178.5479185211797,161.62918389587807,ACTIVE,112.77636155133774,120.12327091126922,184.41868308342393,161.1153585259121
1433,113.05158459415438,126.4426753014926,178.09036350220208,160.84189805841203,ACTIVE,114.30813323944002,123.11940950735686,184.71955140077264,161.73543936041
1466,115.43016120996317,126.23286468536884,175.98145787071633,161.26709437777313,ACTIVE,115.07235159693538,127.46860835918329,169.68074764196416,162.47150799093902
1500,115.47895465379243,128.03976349058559,174.68708418038594,161.72366522938103,ACTIVE,115.86416382870362,132.2931346255642,155.49740081130093,163.51188849330316
1533,117.3903662004941,133.5140972381961,173.14285054029713,166.1982991190993,ACTIVE,114.87275200517405,136.88142521255548,135.6711480320981,165.51875200665688
1566,119.30353171744866,143.58659930922093,96.29304805217483,167.84624858213004,ACTIVE,115.40078783074236,141.6574547229423,124.94300402869703,164.93787882022195
1600,112.99813328000288,150.04264121866632,64.75416651184008,165.70979655391918,ACTIVE,115.88740865393292,145.98271766169574,117.60788014849066,166.92436799585352
1633,116.24769765420506,154.04896246334633,129.8074244971607,166.65674230858102,ACTIVE,117.73730454376562,150.24846686582168,117.52218902106574,165.2053395373154
1666,114.38170592316085,153.34733234804216,115.47458749431233,165.56998665644238,ACTIVE,121.62381458156781,155.26517498520926,124.48009873963449,162.9015006955074
1700,131.70507735892045,156.88670720366784,176.0892197851874,154.39931422168894,ACTIVE,126.69600849100105,159.77343838483264,138.70011867704977,160.5649240794161
1733,130.75749843190096,157.30965715888476,154.08222939856145,169.94017006561842,ACTIVE,132.83669744607764,163.07966476148744,160.26024139246852,159.3161136472826
1766,142.8233636966902,168.29850328421634,172.49612856147465,145.21803117068646,ACTIVE,140.11486450896,167.17990660356588,172.84039343513575,158.9187373968091
1800,148.44397407514478,177.50243801568968,173.7959293373822,160.24326503382804,RESTING,146.3928537256861,170.50360340222022,174.25148343971895,158.9659849809458
1833,150.53825427941965,174.3810887815694,175.85397568420802,163.06366382178362,RESTING,151.74813516780202,173.62630821451611,178.42194248564877,160.07677509124022
1866,153.96489599228036,172.9016474375227,177.32478444492375,163.8440062108911,RESTING,154.94387272945622,175.07741405378232,177.08276883517547,162.0474244581167
1900,158.11547587023026,176.99662272479551,176.77145050895845,162.72919184463407,RESTING,157.17608376132767,175.59847797316627,174.92642538391343,163.78895107887405
1933,159.39728656161893,171.46975195548464,176.1306868183605,163.38213560871648,RESTING,158.58612934706858,175.22667624159817,173.24084779184022,164.79872419747716
1966,159.12218690346413,174.71651392849677,175.54704741900807,164.07206160631947,RESTING,159.31537057033134,173.99918512800866,173.31397171893383,164.57411305789125
2000,159.21094901403401,172.8821271365648,173.29452754755735,163.425640308369,RESTING,159.50516851476843,171.95318090132847,176.4337328251723,162.61248690408155
