timestamp_ms,right_elbow_angle,left_elbow_angle,right_plank_posture_angle,left_plank_posture_angle,fsm_state,right_elbow_angle_smooth,left_elbow_angle_smooth,right_plank_posture_angle_smooth,left_plank_posture_angle_smooth
2333,65.86808417931418,127.53766498467442,159.6656867579307,167.8261872088237,ACTIVE,65.17661579268635,127.34538466485208,160.93205518679656,169.34836596703707
2366,65.14217657562611,129.73003504863996,164.39321673378313,172.3924542434113,ACTIVE,65.70751061586009,130.08430742132816,162.52811934774027,170.79827832184108
2400,66.32746049559279,129.70586728429421,163.90009727982698,172.35983688223823,ACTIVE,66.90519705139752,133.69588866453284,164.36803576935353,172.29426816058967
2433,68.80020019390427,139.85407411436586,166.1454100654213,173.62272419852692,ACTIVE,68.14318866308746,137.38572126996962,166.42175688014174,173.76877816393963
2466,70.54992573571168,141.81759795098685,168.53559981079545,175.74431471773806,ACTIVE,69.82231318140296,140.71669072479895,168.22198687606664,174.81469098452453
2500,73.32114260077489,144.52855419339733,170.1629049526696,175.73023285136156,ACTIVE,72.22394161657135,143.5521089521444,169.78915549000934,175.4385107107338
2533,76.40649968696903,147.4763574811989,170.9978466934129,175.0828244867866,ACTIVE,76.2992734237136,146.1163908348998,170.96534202393968,175.408347690052
2566,78.56068877614881,146.76223691166666,171.94006779860402,175.05738351353514,ACTIVE,81.97445490049125,147.9050185867438,172.2844965435247,175.4637867912416
2600,86.98024786916986,148.0515163855466,172.668498240866,175.12282421893744,ACTIVE,89.47925333275987,149.3573397654392,172.94659887656925,175.23801794860148
2633,97.02298244550964,150.65830708996887,173.81945521678324,175.38482044079228,ACTIVE,97.69830703148662,151.42754539961214,173.18630798997123,174.91785181488493
2666,107.98684392175674,153.05189780873926,173.8507178256972,174.52129375752315,ACTIVE,105.97898436881756,153.1296261498734,173.24862129467132,174.76491619341868
2700,117.09378908148425,154.66508018827892,173.1795752796098,174.45323246385885,ACTIVE,113.55075392540965,154.82315911428742,173.26561644291235,174.66150494515068
2733,123.44352117337932,159.95388679726258,172.60811625313048,174.7158895226112,ACTIVE,120.81514272185291,156.62867353308266,173.19971838370563,174.50083778653357
2766,124.28339670678596,157.43828104150938,172.44122563723994,174.4568663178429,ACTIVE,126.42197625746869,157.95233019545316,173.09913230693888,174.45626892533312
2800,128.66419024708262,157.68174349780494,173.01924612091074,174.21836061682572,ACTIVE,131.0403626285676,159.14005856674635,172.87977349701686,174.40964971229985
