timestamp_ms,right_shoulder_angle,left_shoulder_angle,right_elbow_angle,left_elbow_angle,right_knee_angle,left_knee_angle,fsm_state,is_aligned,right_shoulder_angle_smooth,left_shoulder_angle_smooth,right_elbow_angle_smooth,left_elbow_angle_smooth,right_knee_angle_smooth,left_knee_angle_smooth
60966,58.43690600733667,82.47208825776976,112.33965140122929,104.51953459665134,149.57893921981673,149.61669468577864,ACTIVE,True,61.62564366286621,82.9163823102648,105.35142954720595,106.63385263102525,150.3377337302458,149.18598590887524
61000,67.51002386744656,51.16694219468511,81.52431839806255,62.95884475618493,148.17749323141229,148.8727288738949,ACTIVE,True,64.06664153332449,68.72010972158401,102.61933468262406,100.75211219681728,147.47900862373643,148.75498826240982
61033,67.40443749573363,42.649112923446076,102.34754857443339,69.77293836205716,142.73397571539462,148.1392984947308,ACTIVE,True,66.2042605450689,55.31491093687994,103.12332763263754,99.59390469462961,145.10790017691886,147.7352904965674
61066,62.706608471674926,42.83863705657231,99.72871725661456,114.26984058229952,142.5884287143596,147.37515615286284,ACTIVE,True,65.23244298635245,46.50172824166293,102.24102622425451,102.03846311728392,143.12947370665603,145.39971526604643
61100,62.919897557884575,51.85455728678327,109.75164722376262,137.5068477880015,142.55886456134198,146.1923874884198,ACTIVE,True,62.64408389758581,43.895259814600294,105.7730899683339,114.58924071912125,142.33477414567702,143.2786608272753
61133,62.32353103278957,50.53676403722736,114.57229968707189,142.89238954266847,143.3969845434714,139.41524214307088,ACTIVE,True,56.75921642785308,42.47966595947004,106.43083974295274,127.87122001658054,143.06184296619733,141.7136765546022
61166,54.28366805437549,44.038938237687596,114.2475925651957,135.45690362183907,145.12024762559253,138.76814349651738,ACTIVE,True,49.32979351617911,38.95918072742141,108.45910229563299,139.55119205573726,144.64409647199824,141.75764370681236
61200,35.63244218892168,35.6514290341245,101.78037352384457,135.67958497722157,145.13495173936147,138.74799386041516,ACTIVE,True,42.47856584328103,32.90784665361788,108.01906234215932,145.3125027326027,147.34784879044696,143.5181060540221
61233,36.503294073387444,25.945714312945533,111.567181119107,146.11139334212075,149.46496613188071,146.9793897444668,ACTIVE,True,36.37112104009405,25.734011283220298,109.77414746921542,145.528207769443,149.71463208998026,145.5831735342187
61266,24.225628860219484,8.3730898533716,87.19161615834955,136.70685959112853,153.35832693266414,150.55426762056953,ACTIVE,True,31.480211324109955,19.82526274127131,106.14684741704326,147.69278009209864,151.8522770820105,148.53842896567946
61300,31.150468575182618,9.163916571341607,115.12866376739464,154.7037070235653,155.34704660341973,155.16209735408003,ACTIVE,True,28.439128252619895,16.153807501726426,103.08919273056932,149.6494317617857,153.91327870124033,152.04400057716208
61333,28.858854155379845,19.211868331868136,120.2947132737664,165.40704813779257,156.10300863301424,155.8358067649949,ACTIVE,True,28.191785503023038,15.251321830830477,104.50230749947463,153.57908758091816,155.54835721287895,154.10326298596803
61366,30.0723606402296,19.636139870804346,105.52387475989438,153.97319875129594,155.10327563345487,151.26317155155252,ACTIVE,True,29.639935752594738,14.492623344504722,108.7651692261646,158.19273878307618,156.41825039378622,154.66076441337196
61400,32.225916916131325,22.458318509590256,89.39925340144286,154.12882690175996,155.6738626997117,154.7555940550945,ACTIVE,True,29.975678682033674,16.929079391934057,115.94845607960026,154.97186649135088,156.3930245956248,153.9992540290384
61433,30.0383278547821,15.745525301364426,115.0921526591141,147.44508032787857,157.31239135173237,153.5694552694735,ACTIVE,True,31.327464814475015,18.881345911103928,120.06011051568613,152.909903433324,156.03567482601446,152.96567933723406
61466,31.27336327754431,17.318198368955418,132.79667846749123,161.2775210459202,155.6178221318819,150.67502596525827,ACTIVE,True,30.23644098845701,18.762269011474558,114.99623526268817,151.92326025952372,155.52832693713643,151.55439550436276
