timestamp_ms,right_knee_angle,left_knee_angle,torso_angle,fsm_state,right_knee_angle_smooth,left_knee_angle_smooth,torso_angle_smooth
1433,87.24213769091436,96.65234358154463,72.38994676856674,ACTIVE,87.34463785651424,96.77553071669288,72.29216843839352
1466,87.7723069137662,97.68945615149666,72.5869714886946,ACTIVE,87.31046259930463,96.92826142262399,71.91568223745597
1500,87.18507901161274,96.93134737175994,71.48435060115575,ACTIVE,87.29540447161898,96.96919320691131,71.71157869795898
1533,87.56640290976385,96.91620356123997,71.56272192094949,ACTIVE,87.18838724886328,96.7411999072566,71.6171131170195
1566,87.01696264437255,96.54623420384348,71.45556042833638,ACTIVE,87.3405124282665,96.55093265406502,71.84411257706084
1600,87.43568948022924,96.43664500219411,71.66580334162943,ACTIVE,87.81396734529554,96.52393374927837,72.31810856407166
1633,88.51379306377505,96.4392056776991,73.41205188369888,ACTIVE,88.25423503121948,96.62273276043027,72.82439267903146
1666,89.33196368033033,96.7851476215356,74.33067729729467,ACTIVE,89.31099652722767,97.11577112986791,73.72270593580872
1700,91.55137410820225,98.05289606437888,75.57997659270985,ACTIVE,90.66429745547461,97.83902543997976,74.80106731997864
1733,92.95744285895786,99.76616357097569,76.37782925591071,ACTIVE,93.24503445635946,99.46306715869844,76.86698887390222
1766,94.73360764341855,100.75519244924472,77.63298397920266,ACTIVE,96.81360864808752,101.50949123779154,79.41431714575498
1800,100.19092223669564,102.95250307622328,81.6520521077409,ACTIVE,100.92096045050567,103.58904129168329,82.27206201347586
1833,104.3584890494922,106.03042468267789,85.67007702206384,ACTIVE,105.36689735087174,105.86356610736442,85.65023180886764
1866,112.08413781572347,110.49496011480561,91.73445692115541,ACTIVE,109.83223705284537,108.26698482868679,89.46095970866783
1900,115.15440087583363,110.74149529434119,93.11670646274193,ACTIVE,113.62145516930451,111.35174939066309,93.68189669279573
1933,116.33704405958935,112.30525960973185,96.30591841715201,ACTIVE,116.32361671720656,114.27224131336418,97.17228565801629
1966,118.14121814493227,116.61219204222758,100.14090144968266,ACTIVE,117.57832185087449,117.10719934578384,99.90177320004346
2000,118.86456267541537,120.0822054885633,103.62642292151976,ACTIVE,118.19951131216511,119.14003309228096,101.90080315035401
2033,117.05588651948324,123.94549563763033,105.66707780655561,ACTIVE,117.71192171364281,119.70955568153327,103.73917984846938
2066,117.86320347043802,122.44175234886137,104.62649558582244,ACTIVE,118.05131026185211,122.20126129523084,106.59358590300454
2100,118.82687395808155,125.00590581899377,108.28917455766474,ACTIVE,119.57786261820486,125.80227604584408,109.83350620983097
2133,121.45531166748417,124.32495075423067,111.41996144108595,ACTIVE,122.04704204847272,129.97006001621355,113.73445696798044
2166,122.99597580098549,129.16114556601096,118.4899908224035,ACTIVE,125.62942503643472,135.0852789859878,118.13929564605567
2200,131.29661880993277,147.56792763233142,125.47613080780847,ACTIVE,130.40067644401003,140.7585154529499,123.24520690757507
2233,137.08936900628166,150.42161321802124,129.36754846392773,ACTIVE,135.42304643731703,147.05032871786892,128.67514186362507
2266,140.52933817578727,152.38975712904772,133.693829099132,ACTIVE,140.3479578667021,152.34467636537823,133.5162434238664
2300,145.00948095265457,155.96740680279837,136.7544170549442,ACTIVE,144.6838797222037,156.5394885808362,137.77222941277796
2333,149.7149253797122,157.66947249486654,141.63259730972106,ACTIVE,148.83661087068708,158.5371469453665,141.39229614251374
2366,151.9613762117325,159.67216521568807,145.0639386625262,ACTIVE,152.3257441423582,158.77513259802407,144.89066662374012
2400,154.32592165058506,159.31117687653838,148.3931525678382,ACTIVE,155.973747496734,159.9182596414649,148.63921459182373
2433,157.95345123326246,160.16829799587663,151.14750955611913,ACTIVE,159.30109621461233,160.70095433586644,151.9930586201298
2466,163.4728990613212,161.05699910833889,155.44212472037455,ACTIVE,161.97167802335667,161.08066945531988,154.93381935535834
2500,165.86782910121545,162.0837417255701,158.0565809373494,RESTING,164.21311201673382,161.5032365350043,157.3797625728062
2533,166.575740594128,161.88302978122462,160.3235808013199,RESTING,166.01711424065076,162.0021738632512,159.55862607003638
2566,165.90013360243358,162.2226207724487,160.59149569866045,RESTING,166.93057111571494,162.60963443012838,161.3699097502156
2600,166.63674026671683,162.89840458062562,162.04979308777416,RESTING,167.1006534230425,163.15430301964423,162.74653073063791
2633,167.19918043790855,163.76922645983294,163.92112255777013,RESTING,166.80677225534274,163.66048363124898,163.57532179071782
2666,166.38499000246415,164.57204058823774,164.63916229922785,RESTING,166.58525670402605,164.13496934008236,164.36519621007588
2700,165.90214831017062,164.53656813988817,165.26493690063668,RESTING,166.40123476967253,164.76810107893016,164.99914882287723
2733,166.55786854894407,165.51651510353167,165.27533157546506,RESTING,166.2208414641998,165.29225233588215,165.56824301707815
2766,166.1376118333966,165.4964880385692,165.4709071211124,RESTING,165.8207836892295,165.76429090428974,165.75195902931227
2800,165.2696655697784,165.96569947671114,166.20322245707385,RESTING,165.42281184424647,166.1788700941044,165.8168923888478
2833,164.97656150887497,166.84973941464258,165.90913628971,RESTING,165.17451219968729,166.57982057564098,165.9236868734547
2866,164.76793666314353,166.913748004726,165.9667093189096,RESTING,164.8509209313561,166.97514058634403,166.06636712765896
2900,164.34417576662472,167.3889972091633,165.94582688053617,RESTING,164.4090303511062,167.22395206114209,166.25599967830692
2933,164.13809509737774,167.44233415845576,166.56106233484292,RESTING,164.12074156661635,167.45303280212624,166.43771626952199
2966,164.00168345629015,167.55959275335502,166.6994346689865,RESTING,163.79648190185895,167.60596740052395,166.66345256524548
3000,163.31520607885327,167.5643668299372,167.1153113826841,RESTING,163.39909170863297,167.67193012999198,166.95239301285642
3033,162.71911182983897,167.585430480982,167.29420237569892,RESTING,162.89141133873773,167.64009526418744,167.3237220597342
3066,162.33679974534266,167.58793830906185,167.74079119842824,RESTING,162.2362811439726,167.49963707676753,167.79662415325822
